Time,Channel A
(s),(mV)
,
0.44800002,57.91192
0.44850002,63.31981
0.44900002,27.26524
0.44950002,29.06583
0.45000002,52.50404
0.45050002,57.91192
0.45100002,61.51921
0.45150002,30.86642
0.45200002,36.2804
0.45250002,45.28947
0.45300002,56.11133
0.45350002,56.11133
0.45400002,29.06583
0.45450002,43.48888
0.45500002,50.70345
0.45550002,56.11133
0.45600002,43.48888
0.45650002,30.86642
0.45700002,36.2804
0.45750002,48.89676
0.45800002,57.91192
0.45850002,39.88159
0.45900002,29.06583
0.45950002,43.48888
0.46000002,52.50404
0.46050002,61.51921
0.46100002,29.06583
0.46150002,30.86642
0.46200002,52.50404
0.46250002,63.31981
0.46300002,41.68828
0.46350002,30.86642
0.46400002,36.2804
0.46450002,57.91192
0.46500002,59.71251
0.46550002,57.91192
0.46600002,27.26524
0.46650002,34.47371
0.46700002,56.11133
0.46750002,59.71251
0.46800002,52.50404
0.46850002,30.86642
0.46900002,41.68828
0.46950002,50.70345
0.47000002,56.11133
0.47050002,41.68828
0.47100002,29.06583
0.47150002,43.48888
0.47200002,47.09616
0.47250002,56.11133
0.47300002,30.86642
0.47350002,29.06583
0.47400002,48.89676
0.47450002,50.70345
0.47500002,59.71251
0.47550002,29.06583
0.47600002,32.67311
0.47650002,50.70345
0.47700002,57.91192
0.47750002,57.91192
0.47800002,27.26524
0.47850002,36.2804
0.47900002,54.30463
0.47950002,63.31981
0.48000002,54.30463
0.48050002,27.26524
0.48100002,39.88159
0.48150002,56.11133
0.48200002,63.31981
0.48250002,32.67311
0.48300002,29.06583
0.48350002,47.09616
0.48400002,57.91192
0.48450002,59.71251
0.48500002,38.08099
0.48550002,34.47371
0.48600002,50.70345
0.48650002,50.70345
0.48700002,57.91192
0.48750002,29.06583
0.48800002,30.86642
0.48850002,48.89676
0.48900002,50.70345
0.48950002,48.89676
0.49000002,29.06583
0.49050002,32.67311
0.49100002,52.50404
0.49150002,59.71251
0.49200002,52.50404
0.49250002,30.86642
0.49300002,52.50404
0.49350002,57.91192
0.49400002,65.1265
0.49450002,38.08099
0.49500002,30.86642
0.49550002,45.28947
0.49600002,57.91192
0.49650002,65.1265
0.49700002,27.26524
0.49750002,34.47371
0.49800002,52.50404
0.49850002,57.91192
0.49900002,45.28947
0.49950002,27.26524
0.50000002,36.2804
0.50050002,54.30463
0.50100002,59.71251
0.50150002,56.11133
0.50200002,30.86642
0.50250002,45.28947
0.50300002,52.50404
0.50350002,59.71251
0.50400002,32.67311
0.50450002,32.67311
0.50500002,56.11133
0.50550002,54.30463
0.50600002,59.71251
0.50650002,27.26524
0.50700002,36.2804
0.50750002,54.30463
0.50800002,59.71251
0.50850002,41.68828
0.50900002,27.26524
0.50950002,47.09616
0.51000002,54.30463
0.51050002,63.31981
0.51100002,38.08099
0.51150002,32.67311
0.51200002,45.28947
0.51250002,57.91192
0.51300002,48.89676
0.51350002,29.06583
0.51400002,34.47371
0.51450002,52.50404
0.51500002,57.91192
0.51550002,63.31981
0.51600002,29.06583
0.51650002,30.86642
0.51700002,52.50404
0.51750002,57.91192
0.51800002,50.70345
0.51850002,34.47371
0.51900002,36.2804
0.51950002,52.50404
0.52000002,59.71251
0.52050002,36.2804
0.52100002,29.06583
0.52150002,43.48888
0.52200002,56.11133
0.52250002,63.31981
0.52300002,30.86642
0.52350002,27.26524
0.52400002,52.50404
0.52450002,57.91192
0.52500002,63.31981
0.52550002,25.45854
0.52600002,32.67311
0.52650003,47.09616
0.52700003,57.91192
0.52750003,56.11133
0.52800003,27.26524
0.52850003,34.47371
0.52900003,52.50404
0.52950003,63.31981
0.53000003,45.28947
0.53050003,27.26524
0.53100003,47.09616
0.53150003,57.91192
0.53200003,63.31981
0.53250003,27.26524
0.53300003,29.06583
0.53350003,54.30463
0.53400003,63.31981
0.53450003,50.70345
0.53500003,27.26524
0.53550003,43.48888
0.53600003,54.30463
0.53650003,59.71251
0.53700003,30.86642
0.53750003,29.06583
0.53800003,50.70345
0.53850003,57.91192
0.53900003,59.71251
0.53950003,30.86642
0.54000003,36.2804
0.54050003,56.11133
0.54100003,59.71251
0.54150003,25.45854
0.54200003,21.85736
0.54250003,39.88159
