Time,Channel A,Channel B
(s),(mV),(mV)

11.32100054,265.80090000,98.66634000
11.32150054,274.80390000,100.46080000
11.32200054,274.80390000,104.03760000
11.32250054,265.80090000,102.24920000
11.32300054,252.28120000,104.03760000
11.32350054,270.30240000,105.82600000
11.32400054,265.80090000,107.62050000
11.32450054,270.30240000,107.62050000
11.32500054,252.28120000,107.62050000
11.32550054,252.28120000,109.40890000
11.32600054,270.30240000,105.82600000
11.32650054,270.30240000,104.03760000
11.32700054,265.80090000,102.24920000
11.32750054,279.30540000,102.24920000
11.32800054,279.30540000,102.24920000
11.32850054,279.30540000,100.46080000
11.32900054,256.78270000,102.24920000
11.32950054,270.30240000,102.24920000
11.33000054,270.30240000,100.46080000
11.33050054,256.78270000,100.46080000
11.33100054,283.80690000,100.46080000
11.33150054,279.30540000,102.24920000
11.33200054,256.78270000,104.03760000
11.33250054,274.80390000,102.24920000
11.33300054,279.30540000,102.24920000
11.33350054,270.30240000,105.82600000
11.33400054,270.30240000,104.03760000
11.33450054,279.30540000,109.40890000
11.33500054,270.30240000,104.03760000
11.33550054,270.30240000,105.82600000
11.33600054,261.28420000,104.03760000
11.33650054,256.78270000,105.82600000
11.33700054,283.80690000,102.24920000
11.33750054,279.30540000,102.24920000
11.33800054,270.30240000,102.24920000
11.33850054,288.32360000,100.46080000
11.33900054,279.30540000,100.46080000
11.33950054,270.30240000,100.46080000
11.34000054,288.32360000,102.24920000
11.34050054,252.28120000,100.46080000
11.34100054,265.80090000,100.46080000
11.34150054,234.26010000,100.46080000
11.34200054,256.78270000,100.46080000
11.34250054,279.30540000,102.24920000
11.34300054,288.32360000,104.03760000
11.34350054,265.80090000,105.82600000
11.34400054,292.82510000,105.82600000
11.34450054,252.28120000,105.82600000
11.34500054,252.28120000,104.03760000
11.34550054,256.78270000,104.03760000
11.34600054,243.27830000,105.82600000
11.34650054,238.76160000,107.62050000
11.34700054,270.30240000,104.03760000
11.34750054,265.80090000,102.24920000
11.34800054,234.26010000,102.24920000
11.34850054,270.30240000,100.46080000
11.34900054,270.30240000,102.24920000
11.34950054,256.78270000,102.24920000
11.35000054,256.78270000,100.46080000
11.35050054,234.26010000,100.46080000
11.35100054,229.75860000,100.46080000
11.35150054,261.28420000,100.46080000
11.35200054,238.76160000,100.46080000
11.35250054,247.77980000,104.03760000
11.35300054,234.26010000,104.03760000
11.35350054,256.78270000,104.03760000
11.35400054,252.28120000,107.62050000
11.35450054,247.77980000,107.62050000
11.35500054,261.28420000,107.62050000
11.35550054,238.76160000,105.82600000
11.35600054,229.75860000,105.82600000
11.35650054,256.78270000,105.82600000
11.35700054,274.80390000,102.24920000
11.35750054,265.80090000,102.24920000
11.35800054,261.28420000,102.24920000
11.35850054,256.78270000,102.24920000
11.35900054,261.28420000,100.46080000
11.35950054,274.80390000,100.46080000
11.36000054,234.26010000,100.46080000
11.36050054,252.28120000,102.24920000
11.36100054,234.26010000,102.24920000
11.36150054,238.76160000,102.24920000
11.36200054,229.75860000,102.24920000
11.36250054,234.26010000,104.03760000
11.36300054,216.23890000,104.03760000
11.36350054,211.73740000,107.62050000
11.36400054,247.77980000,109.40890000
11.36450054,247.77980000,107.62050000
11.36500054,247.77980000,109.40890000
11.36550054,243.27830000,105.82600000
11.36600054,234.26010000,104.03760000
11.36650054,234.26010000,102.24920000
11.36700054,252.28120000,104.03760000
11.36750054,247.77980000,102.24920000
11.36800054,234.26010000,102.24920000
11.36850054,216.23890000,100.46080000
11.36900054,229.75860000,102.24920000
11.36950054,225.25710000,100.46080000
11.37000054,211.73740000,98.66634000
11.37050054,220.75560000,100.46080000
11.37100054,234.26010000,102.24920000
11.37150054,229.75860000,102.24920000
11.37200054,238.76160000,102.24920000
11.37250054,238.76160000,105.82600000
11.37300054,229.75860000,105.82600000
11.37350054,229.75860000,104.03760000
11.37400054,238.76160000,105.82600000
11.37450054,211.73740000,107.62050000
11.37500054,225.25710000,107.62050000
11.37550054,247.77980000,105.82600000
11.37600054,261.28420000,104.03760000
11.37650054,243.27830000,104.03760000
11.37700054,270.30240000,104.03760000
11.37750054,220.75560000,102.24920000
11.37800054,252.28120000,102.24920000
11.37850054,229.75860000,98.66634000
11.37900054,252.28120000,102.24920000
11.37950054,265.80090000,100.46080000
11.38000054,211.73740000,102.24920000
11.38050054,202.73440000,100.46080000
11.38100054,225.25710000,102.24920000
11.38150054,216.23890000,102.24920000
11.38200054,216.23890000,102.24920000
11.38250054,211.73740000,102.24920000
11.38300054,202.73440000,104.03760000
11.38350054,189.21480000,104.03760000
11.38400054,211.73740000,107.62050000
11.38450054,198.23300000,105.82600000
11.38500054,207.23590000,105.82600000
11.38550054,220.75560000,107.62050000
11.38600054,234.26010000,105.82600000
11.38650054,247.77980000,107.62050000
11.38700054,247.77980000,102.24920000
11.38750054,243.27830000,102.24920000
11.38800054,229.75860000,102.24920000
11.38850054,247.77980000,102.24920000
11.38900054,274.80390000,100.46080000
11.38950054,256.78270000,100.46080000
11.39000054,256.78270000,98.66634000
11.39050054,247.77980000,102.24920000
11.39100054,234.26010000,102.24920000
11.39150054,234.26010000,100.46080000
11.39200054,234.26010000,104.03760000
11.39250054,225.25710000,104.03760000
11.39300054,211.73740000,105.82600000
11.39350054,220.75560000,105.82600000
11.39400054,220.75560000,104.03760000
11.39450054,220.75560000,105.82600000
11.39500054,220.75560000,107.62050000
11.39550054,216.23890000,105.82600000
11.39600054,234.26010000,105.82600000
11.39650054,193.71620000,104.03760000
11.39700054,238.76160000,104.03760000
11.39750054,220.75560000,104.03760000
11.39800054,234.26010000,102.24920000
11.39850054,220.75560000,100.46080000
11.39900054,234.26010000,100.46080000
11.39950054,247.77980000,100.46080000
11.40000054,234.26010000,100.46080000
11.40050054,234.26010000,102.24920000
11.40100054,229.75860000,100.46080000
11.40150054,243.27830000,102.24920000
11.40200054,211.73740000,102.24920000
11.40250054,252.28120000,104.03760000
11.40300054,207.23590000,104.03760000
11.40350054,238.76160000,105.82600000
11.40400054,243.27830000,105.82600000
11.40450054,234.26010000,107.62050000
11.40500054,247.77980000,107.62050000
11.40550054,220.75560000,107.62050000
11.40600054,216.23890000,104.03760000
11.40650054,247.77980000,104.03760000
11.40700054,247.77980000,102.24920000
11.40750054,234.26010000,102.24920000
11.40800054,220.75560000,102.24920000
11.40850054,220.75560000,100.46080000
11.40900054,247.77980000,102.24920000
11.40950054,225.25710000,100.46080000
11.41000054,247.77980000,102.24920000
11.41050054,198.23300000,100.46080000
11.41100054,243.27830000,104.03760000
11.41150054,216.23890000,102.24920000
11.41200054,193.71620000,104.03760000
11.41250054,202.73440000,102.24920000
11.41300054,193.71620000,109.40890000
11.41350054,202.73440000,105.82600000
11.41400054,184.71330000,109.40890000
11.41450054,211.73740000,107.62050000
11.41500054,220.75560000,107.62050000
11.41550054,225.25710000,107.62050000
11.41600054,216.23890000,105.82600000
11.41650054,229.75860000,105.82600000
11.41700054,220.75560000,102.24920000
11.41750054,211.73740000,102.24920000
11.41800054,234.26010000,102.24920000
11.41850054,234.26010000,102.24920000
11.41900054,261.28420000,102.24920000
11.41950054,247.77980000,100.46080000
11.42000054,247.77980000,100.46080000
11.42050054,252.28120000,100.46080000
11.42100054,234.26010000,102.24920000
11.42150054,265.80090000,102.24920000
11.42200054,229.75860000,104.03760000
11.42250054,234.26010000,104.03760000
11.42300054,243.27830000,105.82600000
11.42350054,234.26010000,105.82600000
11.42400054,220.75560000,105.82600000
11.42450054,225.25710000,107.62050000
11.42500054,234.26010000,107.62050000
11.42550054,211.73740000,104.03760000
11.42600054,229.75860000,107.62050000
11.42650054,220.75560000,104.03760000
11.42700054,229.75860000,104.03760000
11.42750054,238.76160000,100.46080000
